sample_id,name_key,name,n_playlists,has_purpose,purpose_note,confidence,model
0,country,Country,9811,no,,,gpt-4o-mini
1,chill,chill,9765,no,,,gpt-4o-mini
2,rap,rap,8382,no,,,gpt-4o-mini
3,workout,Workout,8343,yes,for exercising,high,gpt-4o-mini
4,oldies,oldies,7996,no,,,gpt-4o-mini
5,christmas,Christmas,7239,yes,for the holiday season,high,gpt-4o-mini
6,rock,Rock,6714,no,,,gpt-4o-mini
7,party,Party,5886,yes,for social gatherings,high,gpt-4o-mini
8,throwback,throwback,5627,no,,,gpt-4o-mini
9,jams,JAMS,4910,no,,,gpt-4o-mini
10,worship,Worship,4906,yes,for worship,high,gpt-4o-mini
11,summer,summer,4613,yes,for the summer season,high,gpt-4o-mini
12,new,new,4497,no,,,gpt-4o-mini
13,feels,feels,4435,no,,,gpt-4o-mini
14,lit,lit,3995,no,,,gpt-4o-mini
15,disney,Disney,3930,no,,,gpt-4o-mini
16,throwbacks,Throwbacks,3865,no,,,gpt-4o-mini
17,music,Music,3745,no,,,gpt-4o-mini
18,sleep,sleep,3442,yes,for sleeping,high,gpt-4o-mini
19,running,running,3398,yes,for running,high,gpt-4o-mini
20,vibes,vibes,3345,no,,,gpt-4o-mini
21,edm,EDM,3284,no,,,gpt-4o-mini
22,classic rock,Classic Rock,3230,no,,,gpt-4o-mini
23,classics,classics,3162,no,,,gpt-4o-mini
24,gym,Gym,3093,yes,for gym workouts,high,gpt-4o-mini
25,dance,Dance,2961,no,,,gpt-4o-mini
26,pop,Pop,2824,no,,,gpt-4o-mini
27,car,car,2802,yes,for driving,high,gpt-4o-mini
28,road trip,road trip,2747,yes,for road trips,high,gpt-4o-mini
29,hype,hype,2690,no,,,gpt-4o-mini
30,old school,Old School,2680,no,,,gpt-4o-mini
31,run,run,2634,yes,for running,high,gpt-4o-mini
32,work,Work,2604,yes,for working,high,gpt-4o-mini
33,random,Random,2552,no,,,gpt-4o-mini
34,wedding,Wedding,2476,yes,for weddings,high,gpt-4o-mini
35,2017,2017,2475,no,,,gpt-4o-mini
36,hip hop,hip hop,2433,no,,,gpt-4o-mini
37,love,Love,2311,no,,,gpt-4o-mini
38,shower,Shower,2245,yes,for showering,high,gpt-4o-mini
39,alternative,Alternative,2223,no,,,gpt-4o-mini
40,reggae,reggae,2219,no,,,gpt-4o-mini
41,christian,Christian,2203,no,,,gpt-4o-mini
42,spanish,Spanish,2135,no,,,gpt-4o-mini
43,relax,relax,2127,no,,,gpt-4o-mini
44,feel good,feel good,2048,no,,,gpt-4o-mini
45,classical,Classical,2019,no,,,gpt-4o-mini
46,summer 2017,Summer 2017,1978,no,,,gpt-4o-mini
47,playlist,playlist,1940,no,,,gpt-4o-mini
48,oldies but goodies,oldies but goodies,1926,no,,,gpt-4o-mini
49,2016,2016,1914,no,,,gpt-4o-mini
50,r&b,R&B,1909,no,,,gpt-4o-mini
51,pregame,Pregame,1894,yes,pre-party music,high,gpt-4o-mini
52,study,study,1893,yes,for studying,high,gpt-4o-mini
53,driving,Driving,1862,yes,for driving,high,gpt-4o-mini
54,jamz,jamz,1846,no,,,gpt-4o-mini
55,happy,happy,1838,no,,,gpt-4o-mini
56,mix,mix,1832,no,,,gpt-4o-mini
57,my music,My music,1776,no,,,gpt-4o-mini
58,sad,sad,1767,no,,,gpt-4o-mini
59,good vibes,Good Vibes,1743,no,,,gpt-4o-mini
60,80s,80s,1720,no,,,gpt-4o-mini
61,90s,90s,1707,no,,,gpt-4o-mini
62,mellow,mellow,1681,no,,,gpt-4o-mini
63,roadtrip,Roadtrip,1631,yes,for road trips,high,gpt-4o-mini
64,<3,<3,1621,no,,,gpt-4o-mini
65,jazz,JAZZ,1605,no,,,gpt-4o-mini
66,chillin,Chillin,1602,no,,,gpt-4o-mini
67,work out,work out,1585,yes,for working out,high,gpt-4o-mini
68,drive,Drive,1573,yes,for driving,high,gpt-4o-mini
69,80's,80's,1569,no,,,gpt-4o-mini
70,mood,mood,1516,no,,,gpt-4o-mini
