sample_id,name_key,name,n_playlists,has_purpose,purpose_note,confidence,model,standard_category
3,workout,Workout,8343,yes,for exercising,high,gpt-4o-mini,Workout
5,christmas,Christmas,7239,yes,for the holiday season,high,gpt-4o-mini,Holiday
7,party,Party,5886,yes,for social gatherings,high,gpt-4o-mini,Party
10,worship,Worship,4906,yes,for worship,high,gpt-4o-mini,Worship
11,summer,summer,4613,yes,for the summer season,high,gpt-4o-mini,Seasonal/Summer
18,sleep,sleep,3442,yes,for sleeping,high,gpt-4o-mini,Sleep/Relax
19,running,running,3398,yes,for running,high,gpt-4o-mini,Workout
24,gym,Gym,3093,yes,for gym workouts,high,gpt-4o-mini,Workout
27,car,car,2802,yes,for driving,high,gpt-4o-mini,Driving
28,road trip,road trip,2747,yes,for road trips,high,gpt-4o-mini,Driving
31,run,run,2634,yes,for running,high,gpt-4o-mini,Workout
32,work,Work,2604,yes,for working,high,gpt-4o-mini,Study/Focus
34,wedding,Wedding,2476,yes,for weddings,high,gpt-4o-mini,Romance/Wedding
38,shower,Shower,2245,yes,for showering,high,gpt-4o-mini,DailyRoutine
51,pregame,Pregame,1894,yes,pre-party music,high,gpt-4o-mini,Party
52,study,study,1893,yes,for studying,high,gpt-4o-mini,Study/Focus
53,driving,Driving,1862,yes,for driving,high,gpt-4o-mini,Driving
63,roadtrip,Roadtrip,1631,yes,for road trips,high,gpt-4o-mini,Driving
67,work out,work out,1585,yes,for working out,high,gpt-4o-mini,Workout
68,drive,Drive,1573,yes,for driving,high,gpt-4o-mini,Driving
76,halloween,HALLOWEEN,1415,yes,for Halloween,high,gpt-4o-mini,Holiday
81,pump up,Pump up,1261,yes,workout motivation,high,gpt-4o-mini,Workout
83,turn up,turn up,1239,yes,party atmosphere,high,gpt-4o-mini,Party
102,car jams,car jams,1066,yes,driving playlist,high,gpt-4o-mini,Driving
117,slow jams,Slow Jams,937,yes,romantic setting,high,gpt-4o-mini,Romance/Wedding
121,chill out,chill out,925,yes,relaxing background music,mid,gpt-4o-mini,Sleep/Relax
128,school,school,866,yes,school-related activities,mid,gpt-4o-mini,Other_Purpose
129,turnt,Turnt,862,yes,party atmosphere,high,gpt-4o-mini,Party
135,yoga,yoga,818,yes,yoga sessions,high,gpt-4o-mini,Other_Purpose
137,party playlist,party playlist,814,yes,celebration and fun,high,gpt-4o-mini,Party
149,summer 16,summer 16,760,yes,summer vibes,mid,gpt-4o-mini,Seasonal/Summer
150,chill music,Chill music,756,yes,relaxing background music,mid,gpt-4o-mini,Sleep/Relax
156,wedding playlist,Wedding Playlist,745,yes,celebration and fun,high,gpt-4o-mini,Party
172,car rides,car rides,684,yes,for car rides,high,gpt-4o-mini,Driving
