track_uri,track_name,artist_name,total_count,dominant_category,confidence,entropy,distribution
spotify:track:61LtVmmkGr8P9I2tSPvdpf,Teach Me How to Dougie,Cali Swag District,164,Party,0.5488,2.0971,"{""Romance/Wedding"": 0.06707317073170732, ""Workout"": 0.20121951219512196, ""Party"": 0.5487804878048781, ""Driving"": 0.06707317073170732, ""Seasonal/Summer"": 0.036585365853658534, ""Holiday"": 0.03048780487804878, ""Gaming"": 0.012195121951219513, ""Sleep/Relax"": 0.006097560975609756, ""DailyRoutine"": 0.012195121951219513, ""Study/Focus"": 0.018292682926829267}"
spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,Miley Cyrus,543,Party,0.4549,2.357,"{""Romance/Wedding"": 0.0570902394106814, ""Driving"": 0.2136279926335175, ""Workout"": 0.11970534069981584, ""Party"": 0.4548802946593002, ""Seasonal/Summer"": 0.06077348066298342, ""DailyRoutine"": 0.040515653775322284, ""Gaming"": 0.01289134438305709, ""Sleep/Relax"": 0.020257826887661142, ""Study/Focus"": 0.011049723756906077, ""Holiday"": 0.009208103130755065}"
spotify:track:1V4jC0vJ5525lEF1bFgPX2,Shots,LMFAO,315,Party,0.6952,1.5804,"{""Romance/Wedding"": 0.0380952380952381, ""Workout"": 0.14603174603174604, ""Party"": 0.6952380952380952, ""DailyRoutine"": 0.012698412698412698, ""Seasonal/Summer"": 0.03492063492063492, ""Driving"": 0.047619047619047616, ""Study/Focus"": 0.006349206349206349, ""Gaming"": 0.012698412698412698, ""Holiday"": 0.006349206349206349}"
spotify:track:3XVozq1aeqsJwpXrEZrDJ9,Ice Ice Baby,Vanilla Ice,168,Party,0.4881,2.4218,"{""Romance/Wedding"": 0.09523809523809523, ""Party"": 0.4880952380952381, ""Driving"": 0.125, ""Study/Focus"": 0.017857142857142856, ""Gaming"": 0.03571428571428571, ""Workout"": 0.11904761904761904, ""Sleep/Relax"": 0.017857142857142856, ""Seasonal/Summer"": 0.05357142857142857, ""Holiday"": 0.011904761904761904, ""DailyRoutine"": 0.03571428571428571}"
spotify:track:6eE6akYdf9w2rZUOIMwSgw,Shout - Parts 1 & 2,The Isley Brothers,9,Party,0.5556,0.9911,"{""Romance/Wedding"": 0.4444444444444444, ""Party"": 0.5555555555555556}"
spotify:track:0CAfXk7DXMnon4gLudAp7J,Low (feat T-Pain) - Feat T-Pain Album Version,Flo Rida,459,Party,0.5098,2.1494,"{""Romance/Wedding"": 0.08496732026143791, ""Workout"": 0.2113289760348584, ""Party"": 0.5098039215686274, ""Seasonal/Summer"": 0.032679738562091505, ""Driving"": 0.10239651416122005, ""Sleep/Relax"": 0.006535947712418301, ""Study/Focus"": 0.008714596949891068, ""Gaming"": 0.008714596949891068, ""Holiday"": 0.015250544662309368, ""DailyRoutine"": 0.017429193899782137, ""Worship"": 0.002178649237472767}"
spotify:track:5bitEcj72xFL3yv9ZS5fkE,The Time (Dirty Bit),The Black Eyed Peas,60,Party,0.4667,2.2195,"{""Romance/Wedding"": 0.15, ""Workout"": 0.21666666666666667, ""Party"": 0.4666666666666667, ""Gaming"": 0.016666666666666666, ""Driving"": 0.06666666666666667, ""Holiday"": 0.016666666666666666, ""DailyRoutine"": 0.03333333333333333, ""Worship"": 0.016666666666666666, ""Study/Focus"": 0.016666666666666666}"
spotify:track:4Ow5x7P5NAAR1jPoskudoA,OMG,Usher,127,Party,0.4646,2.0802,"{""Romance/Wedding"": 0.07874015748031496, ""Party"": 0.4645669291338583, ""Workout"": 0.2677165354330709, ""Driving"": 0.11811023622047244, ""Seasonal/Summer"": 0.023622047244094488, ""Sleep/Relax"": 0.015748031496062992, ""Study/Focus"": 0.023622047244094488, ""Holiday"": 0.007874015748031496}"
spotify:track:3S2R0EVwBSAVMd5UMgKTL0,Thriller,Michael Jackson,206,Holiday,0.4029,1.9544,"{""Romance/Wedding"": 0.09223300970873786, ""Holiday"": 0.4029126213592233, ""Driving"": 0.04854368932038835, ""Sleep/Relax"": 0.0048543689320388345, ""Party"": 0.3883495145631068, ""Workout"": 0.038834951456310676, ""Study/Focus"": 0.019417475728155338, ""Seasonal/Summer"": 0.0048543689320388345}"
spotify:track:7MCNnnmwm7TXMh7xyNGohi,Baby Got Back,Sir Mix-A-Lot,210,Party,0.5429,2.1237,"{""Romance/Wedding"": 0.08095238095238096, ""Workout"": 0.12857142857142856, ""Party"": 0.5428571428571428, ""Driving"": 0.12857142857142856, ""Study/Focus"": 0.014285714285714285, ""Gaming"": 0.004761904761904762, ""Sleep/Relax"": 0.009523809523809525, ""Seasonal/Summer"": 0.0380952380952381, ""DailyRoutine"": 0.05238095238095238}"
